time,x ref,y ref,theta ref,v ref,omega ref
0.87365,2.27644,0.703212,0.325078,3.94773,0.0151244,
0.8787,2.29536,0.709589,0.325153,3.95283,0.0148891,
0.88375,2.3143,0.715975,0.325227,3.95786,0.0146581,
0.8888,2.33324,0.722365,0.3253,3.95885,0.0144168,
0.89385,2.35216,0.728748,0.325371,3.95391,0.0141589,
0.8989,2.37111,0.73514,0.325442,3.95892,0.0139421,
0.90395,2.39002,0.741525,0.325511,3.95398,0.0136949,
0.909,2.40897,0.74792,0.325579,3.95899,0.0134868,
0.91405,2.42789,0.754308,0.325646,3.95405,0.0132496,
0.9191,2.44678,0.76069,0.325712,3.94904,0.013017,
0.92415,2.4657,0.76708,0.325776,3.95412,0.0128222,
0.9292,2.48459,0.773464,0.32584,3.94911,0.0125989,
0.93425,2.50351,0.779857,0.325903,3.9542,0.0124117,
0.9393,2.5224,0.786244,0.325964,3.94919,0.0121968,
0.94435,2.54131,0.792636,0.326025,3.95224,0.0120107,
0.9494,2.56019,0.799022,0.326085,3.9472,0.0118039,
0.95445,2.5791,0.805416,0.326143,3.95231,0.011631,
0.9595,2.59798,0.811804,0.326201,3.94727,0.0114318,
0.96455,2.61684,0.818185,0.326258,3.94216,0.0112362,
0.9696,2.63572,0.824574,0.326314,3.94734,0.0110734,
0.97465,2.65458,0.830957,0.326369,3.94224,0.0108851,
0.9797,2.67346,0.837349,0.326423,3.94742,0.0107281,
0.98475,2.69232,0.843734,0.326476,3.94231,0.0105463,
0.9898,2.71118,0.850122,0.326529,3.94335,0.0103839,
0.99485,2.73002,0.856502,0.32658,3.93818,0.0102084,
0.9999,2.74888,0.862891,0.326631,3.94342,0.0100626,
1.00495,2.76771,0.869273,0.326681,3.93826,0.00989311,
1.01,2.78658,0.875665,0.32673,3.94349,0.00975226,
1.01505,2.80541,0.882049,0.326779,3.93833,0.00958832,
1.0201,2.82422,0.888426,0.326826,3.93309,0.00942701,
1.02515,2.84306,0.894812,0.326873,3.9384,0.00929368,
